Tennis US Open 2011 Mens Tournament The Final Djokovic v Nadal Full
Match Odds
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,BP2,BV2,BP3,BV3,LP1,LV1,LP2,LV2,LP3,LV3,Total matched,LPM, Set1, Set2, Set3, Points 
1321533346410,2,ACTIVE,2249229,Novak Djokovic,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,2,ACTIVE,2251410,Rafael Nadal,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2249229,Novak Djokovic,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2251410,Rafael Nadal,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2249229,Novak Djokovic,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2251410,Rafael Nadal,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2249229,Novak Djokovic,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2251410,Rafael Nadal,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2249229,Novak Djokovic,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
1321533346410,0,ACTIVE,2251410,Rafael Nadal,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,1.66,23456,0,1.6,0,0,0,0,
