Barclays ATP World Tour Finals - Tsonga vs Federer
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,BP2,BV2,BP3,BV3,LP1,LV1,LP2,LV2,LP3,LV3,Total matched,LPM, Set1, Set2, Set3, Points
1322422724047,5,ACTIVE,2251402,Roger Federer,1.58,583.9,1.57,19192.8,1.56,31928.79,1.62,128.52,1.63,799.57,1.65,132.42,1.1381217E7,1.58,0,0,0,0
1322422725047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,61.71,2.52,20,2.5,521,2.78,12.84,2.8,10505.99,2.94,15,489053.03,2.8,0,0,0,0
1322422725047,5,ACTIVE,2251402,Roger Federer,1.58,583.9,1.57,19192.8,1.56,31928.79,1.62,118.81,1.63,799.57,1.65,132.42,1.1381236E7,1.62,0,0,0,0
1322422726047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,61.71,2.52,20,2.5,521,2.74,12.84,2.78,12.84,2.8,10505.99,489053.03,2.8,0,0,0,0
1322422726047,5,ACTIVE,2251402,Roger Federer,1.58,11350.13,1.57,19723.26,1.56,34687.35,1.62,1170.01,1.63,799.57,1.65,132.42,1.1381291E7,1.58,0,0,0,0
1322422727047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,61.71,2.52,20,2.5,521,2.74,12.84,2.8,10505.99,3,3,489053.03,2.8,0,0,0,0
1322422727047,5,ACTIVE,2251402,Roger Federer,1.58,11350.13,1.57,8317.44,1.56,32687.35,1.61,577.63,1.62,1366.25,1.63,799.57,1.1381291E7,1.58,0,0,0,0
1322422728047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,70.27,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489223.38,2.74,0,0,0,0
1322422728047,5,ACTIVE,2251402,Roger Federer,1.58,10536.62,1.57,190.06,1.56,32687.35,1.61,577.63,1.62,1366.25,1.63,799.57,1.1382667E7,1.58,0,0,0,0
1322422729047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,70.27,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489223.38,2.74,0,0,0,0
1322422729047,5,ACTIVE,2251402,Roger Federer,1.58,11293.47,1.57,190.06,1.56,29928.79,1.61,577.63,1.62,1391.25,1.63,799.57,1.1383056E7,1.58,0,0,0,0
1322422730047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,70.27,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489228.56,2.7,0,0,0,0
1322422730047,5,ACTIVE,2251402,Roger Federer,1.59,157.09,1.58,14776.2,1.57,190.06,1.61,577.63,1.62,1366.25,1.63,799.57,1.1383145E7,1.59,3,7,2,0
1322422731047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,70.27,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489228.56,2.7,6,6,2,15
1322422731047,5,ACTIVE,2251402,Roger Federer,1.6,317.35,1.59,157.09,1.58,13239.28,1.61,577.63,1.62,1393.86,1.63,799.57,1.1383375E7,1.6,3,7,2,0
1322422732047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,61.71,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489236.28,2.68,6,6,2,15
1322422732047,5,ACTIVE,2251402,Roger Federer,1.6,302.52,1.59,1112.57,1.58,10336.26,1.61,589.62,1.62,1393.86,1.63,799.57,1.1383392E7,1.6,3,7,2,0
1322422733047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,65.99,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489620.7,2.62,6,6,2,15
1322422733047,5,ACTIVE,2251402,Roger Federer,1.6,302.52,1.59,3955.48,1.58,10336.26,1.61,239.91,1.62,1393.86,1.63,799.57,1.1383741E7,1.61,3,7,2,0
1322422734047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,65.99,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489633.53,2.7,6,6,2,15
1322422734047,5,ACTIVE,2251402,Roger Federer,1.59,3936.23,1.58,10336.26,1.57,190.06,1.61,239.91,1.62,1393.86,1.63,799.57,1.1384363E7,1.59,3,7,2,0
1322422735047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,65.99,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,489661.38,2.68,6,6,2,15
1322422735047,5,ACTIVE,2251402,Roger Federer,1.6,2761.14,1.59,3936.23,1.58,8948.25,1.61,830.54,1.62,1103.81,1.63,799.57,1.1385187E7,1.6,3,7,2,0
1322422736047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,65.99,2.52,20,2.5,521,2.8,10505.99,3,3,3.05,59.93,490560.38,2.62,6,6,2,15
1322422736047,5,ACTIVE,2251402,Roger Federer,1.6,541.91,1.59,3996.16,1.58,8948.25,1.62,1103.81,1.63,799.57,1.65,132.42,1.1389204E7,1.61,3,7,2,0
1322422737047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.62,8.56,2.6,65.99,2.52,20,2.8,10505.99,3,3,3.05,59.93,490610.38,2.68,6,6,2,15
1322422737047,5,ACTIVE,2251402,Roger Federer,1.59,3034.78,1.58,8948.25,1.57,190.06,1.62,1103.81,1.63,799.57,1.65,132.42,1.1390262E7,1.59,3,7,2,0
1322422738047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.64,96.52,2.8,10505.99,3,3,491225.9,2.5,6,6,2,15
1322422738047,5,ACTIVE,2251402,Roger Federer,1.62,2105.31,1.61,2393.64,1.6,1250,1.7,186.05,1.72,60,1.74,727.56,1.1397757E7,1.62,3,7,2,0
1322422739047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10505.99,3,3,3.05,59.93,491225.9,2.5,6,6,2,15
1322422739047,5,ACTIVE,2251402,Roger Federer,1.62,1828.73,1.6,11146.45,1.59,3034.78,1.63,100,1.7,186.05,1.72,60,1.1397761E7,1.62,3,7,2,0
1322422740047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10518.64,3,3,3.05,59.93,491225.9,2.5,6,6,2,15
1322422740047,5,ACTIVE,2251402,Roger Federer,1.62,1855.98,1.6,11146.45,1.59,3034.78,1.63,100,1.7,186.05,1.72,60,1.1397775E7,1.62,3,7,2,0
1322422741047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.6,16.26,2.24,18.83,2.2,10,2.8,10518.64,3,3,3.05,59.93,491234.47,2.6,6,6,2,15
1322422741047,5,ACTIVE,2251402,Roger Federer,1.62,2688.04,1.61,13495.54,1.6,11146.45,1.63,100,1.7,186.05,1.72,60,1.1397974E7,1.62,3,7,2,0
1322422742047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10518.64,3,3,3.05,59.93,491495.2,2.58,6,6,2,15
1322422742047,5,ACTIVE,2251402,Roger Federer,1.62,2339.73,1.61,13695.54,1.6,11156.45,1.63,79.68,1.7,186.05,1.72,60,1.1398343E7,1.63,3,7,2,0
1322422743047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10505.99,3,3,3.05,59.93,491495.2,2.58,6,6,2,15
1322422743047,5,ACTIVE,2251402,Roger Federer,1.62,2175.73,1.61,15083.56,1.6,11156.45,1.63,79.68,1.7,186.05,1.72,60,1.1398671E7,1.62,3,7,2,0
1322422744047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.8,10505.99,3,3,3.05,59.93,491538,2.62,6,6,2,15
1322422744047,5,ACTIVE,2251402,Roger Federer,1.62,1172.32,1.61,13695.54,1.6,11156.45,1.68,169.59,1.7,186.05,1.72,60,1.1398968E7,1.62,3,7,2,0
1322422745047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.62,6.24,2.8,10505.99,3,3,491563.4,2.3,6,6,2,15
1322422745047,5,ACTIVE,2251402,Roger Federer,1.7,5396.72,1.67,10273.97,1.63,1026.59,1.79,4348.9,1.8,386.19,1.82,11.13,1.1408093E7,1.78,3,7,2,0
1322422746047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.36,697.9,2.6,20.54,2.62,6.24,491767.62,2.36,6,6,2,15
1322422746047,5,ACTIVE,2251402,Roger Federer,1.72,3000,1.7,5294.47,1.69,3000,1.79,4348.9,1.8,386.19,1.82,11.13,1.1408093E7,1.78,3,7,2,0
1322422747047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17623.28,2.36,697.9,2.62,6.24,491771.03,2.26,6,6,2,15
1322422747047,5,ACTIVE,2251402,Roger Federer,1.8,22038.87,1.77,3507.06,1.72,3000,1.82,11.13,1.83,2,1.85,33.56,1.1417769E7,1.8,3,7,2,0
1322422748047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17620.72,2.36,697.9,2.62,6.24,491776.2,2.26,6,6,2,15
1322422748047,5,ACTIVE,2251402,Roger Federer,1.8,21576.61,1.77,3507.06,1.72,3000,1.82,11.13,1.83,2,1.85,33.56,1.1418693E7,1.8,3,7,2,0
1322422749047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.36,697.9,2.8,10505.99,491801.53,2.26,6,6,2,15
1322422749047,5,ACTIVE,2251402,Roger Federer,1.8,21546.61,1.77,3507.06,1.76,9405.82,1.82,11.13,1.83,2,1.85,33.56,1.1418753E7,1.8,3,7,2,0
1322422750047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.36,697.9,2.38,25,491801.53,2.26,6,6,2,15
1322422750047,5,ACTIVE,2251402,Roger Federer,1.8,21527.55,1.77,3507.06,1.76,9405.82,1.82,11.13,1.83,2,1.85,1114.64,1.1418791E7,1.8,3,7,2,15
1322422751047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.24,18.83,2.2,10,2.08,19.09,2.26,17608.04,2.38,25,2.8,10505.99,491801.53,2.26,6,6,2,15
1322422751047,5,ACTIVE,2251402,Roger Federer,1.8,21527.55,1.77,12912.88,1.76,9405.82,1.82,11.13,1.83,2,1.84,1087.06,1.1418791E7,1.8,3,7,2,15
1322422752047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.2,181.39,2.26,17608.04,2.38,25,491871.6,2.2,6,6,2,15
1322422752047,5,ACTIVE,2251402,Roger Federer,1.8,21520.27,1.77,12912.88,1.76,9405.82,1.84,1087.06,1.85,33.56,1.88,64.67,1.1418821E7,1.83,3,7,2,15
1322422753047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.26,17608.04,2.38,25,2.8,10505.99,492053,2.2,6,6,2,15
1322422753047,5,ACTIVE,2251402,Roger Federer,1.81,100,1.8,21370.44,1.77,12912.88,1.83,907.96,1.85,33.56,1.88,64.67,1.1419381E7,1.83,3,7,2,15
1322422754047,5,ACTIVE,2444577,Jo Wilfried Tsonga,2.08,19.09,2,253.28,1.9,9.42,2.24,50.49,2.26,17608.04,2.38,25,492087.25,2.2,6,6,2,15
1322422754047,5,ACTIVE,2251402,Roger Federer,1.82,13.64,1.81,100,1.8,21370.44,1.85,33.56,1.88,64.67,1.9,514.14,1.1419508E7,1.83,3,7,2,15
