Tennis US Open 2011 Mens Tournament The Final Djokovic v Nadal 
Match Odds
1315857600000
Mon Sep 12 21:00:00 BST 2011
Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,LP1,LV1,Total matched,LPM
1315828903864,0,ACTIVE,2249229,Novak Djokovic,1.66,1054.07,1.67,27104.33,794149.1,1.66,
1315828903864,0,ACTIVE,2251410,Rafael Nadal,2.5,11559.64,2.52,2014.76,218048.42,2.5,
1315828907864,0,ACTIVE,2249229,Novak Djokovic,1.66,738.81,1.67,27104.33,794779.6,1.66,
1315828927864,0,ACTIVE,2251410,Rafael Nadal,2.5,11557.07,2.52,2014.76,218053.56,2.5,
1315828957864,0,ACTIVE,2251410,Rafael Nadal,2.5,11554.49,2.52,2014.76,218058.7,2.5,
1315828960864,0,ACTIVE,2249229,Novak Djokovic,1.66,569.54,1.67,27104.33,795118.2,1.66,
1315828970864,0,ACTIVE,2249229,Novak Djokovic,1.66,564.54,1.67,27104.33,795128.2,1.66,
1315828975864,0,ACTIVE,2251410,Rafael Nadal,2.5,11549.49,2.52,2014.76,218068.7,2.5,
1315829006864,0,ACTIVE,2249229,Novak Djokovic,1.66,560.25,1.67,27104.33,795136.75,1.66,
1315829038864,0,ACTIVE,2251410,Rafael Nadal,2.5,11518.26,2.52,2014.76,218131.19,2.5,
1315829061864,0,ACTIVE,2249229,Novak Djokovic,1.66,540.25,1.67,27104.33,795176.75,1.66,
1315829083864,0,ACTIVE,2251410,Rafael Nadal,2.5,11483.25,2.52,2014.76,218201.19,2.5,
1315829085864,0,ACTIVE,2249229,Novak Djokovic,1.66,527.24,1.67,27104.33,795202.75,1.66,
1315829094864,0,ACTIVE,2249229,Novak Djokovic,1.66,201.87,1.67,27104.33,795853.5,1.66,
1315829102864,0,ACTIVE,2249229,Novak Djokovic,1.66,116.62,1.67,27104.33,796024.0,1.66,
1315829128864,0,ACTIVE,2249229,Novak Djokovic,1.65,81228.71,1.66,83.38,796257.25,1.66,
1315829132864,0,ACTIVE,2249229,Novak Djokovic,1.65,81228.71,1.67,26936.59,796769.3,1.67,
1315829132864,0,ACTIVE,2251410,Rafael Nadal,2.5,11483.25,2.52,2018.01,218201.19,2.5,
1315829154864,0,ACTIVE,2249229,Novak Djokovic,1.65,81034.14,1.66,3.25,797158.44,1.65,
1315829178864,0,ACTIVE,2249229,Novak Djokovic,1.66,127.97,1.67,26936.59,797164.94,1.66,
1315829187864,0,ACTIVE,2249229,Novak Djokovic,1.66,50127.97,1.67,26936.59,797164.94,1.66,
1315829207864,0,ACTIVE,2251410,Rafael Nadal,2.5,8719.54,2.52,2018.01,218204.62,2.5,
1315829208864,0,ACTIVE,2251410,Rafael Nadal,2.5,6719.54,2.52,1518.01,218204.62,2.5,
1315829226864,0,ACTIVE,2249229,Novak Djokovic,1.66,50127.97,1.67,18359.52,797164.94,1.66,
1315829229864,0,ACTIVE,2249229,Novak Djokovic,1.66,58705.04,1.67,18359.52,797164.94,1.66,
1315829229864,0,ACTIVE,2251410,Rafael Nadal,2.5,6717.82,2.52,1518.01,218208.06,2.5,
1315829235864,0,ACTIVE,2251410,Rafael Nadal,2.5,6240.82,2.52,1518.01,218208.06,2.5,
1315829237864,0,ACTIVE,2251410,Rafael Nadal,2.5,4940.82,2.52,1518.01,218208.06,2.5,
1315829261864,0,ACTIVE,2249229,Novak Djokovic,1.66,58705.04,1.67,22648.05,797164.94,1.66,
1315829261864,0,ACTIVE,2251410,Rafael Nadal,2.5,4937.79,2.52,1518.01,218214.14,2.5,
1315829268864,0,ACTIVE,2249229,Novak Djokovic,1.66,58705.04,1.67,26936.59,797164.94,1.66,
1315829274864,0,ACTIVE,2251410,Rafael Nadal,2.5,4933.5,2.52,1518.01,218222.72,2.5,
1315829287864,0,ACTIVE,2249229,Novak Djokovic,1.66,58705.04,1.67,26936.59,797164.94,1.66,
1315829300864,0,ACTIVE,2249229,Novak Djokovic,1.66,59205.04,1.67,26936.59,797164.94,1.66,
1315829303864,0,ACTIVE,2251410,Rafael Nadal,2.5,4933.5,2.52,1518.01,218222.72,2.5,
1315829326864,0,ACTIVE,2251410,Rafael Nadal,2.5,4404.33,2.52,1518.01,219281.08,2.5,
1315829333864,0,ACTIVE,2251410,Rafael Nadal,2.5,4378.29,2.52,1518.01,219333.14,2.5,
1315829337864,0,ACTIVE,2251410,Rafael Nadal,2.5,89.76,2.52,1518.01,227910.22,2.5,
1315829338864,0,ACTIVE,2251410,Rafael Nadal,2.5,89.76,2.52,1522.35,227910.22,2.5,
1315829339864,0,ACTIVE,2251410,Rafael Nadal,2.48,14452.1,2.5,767.94,228089.73,2.5,
1315829341864,0,ACTIVE,2251410,Rafael Nadal,2.48,14452.1,2.5,1196.8,228089.73,2.5,
1315829343864,0,ACTIVE,2249229,Novak Djokovic,1.66,59233.41,1.67,26936.59,797164.94,1.66,
1315829343864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1190.3,228102.73,2.5,
1315829345864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1276.07,228102.73,2.5,
1315829353864,0,ACTIVE,2249229,Novak Djokovic,1.66,60233.41,1.67,26936.59,797164.94,1.66,
1315829354864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1277.78,228102.73,2.5,
1315829373864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1277.78,228102.73,2.5,
1315829377864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1276.07,228102.73,2.5,
1315829378864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1271.07,228112.73,2.5,
1315829380864,0,ACTIVE,2251410,Rafael Nadal,2.48,14467.81,2.5,1279.64,228112.73,2.5,
1315829399864,0,ACTIVE,2251410,Rafael Nadal,2.48,14466.09,2.5,1279.64,228116.19,2.48,
1315829420864,0,ACTIVE,2249229,Novak Djokovic,1.66,60233.41,1.67,26934.01,797170.06,1.67,
1315829420864,0,ACTIVE,2251410,Rafael Nadal,2.48,14462.48,2.5,1279.64,228123.4,2.48,
1315829426864,0,ACTIVE,2249229,Novak Djokovic,1.66,60233.41,1.67,26924.01,797190.06,1.67,
1315829432864,0,ACTIVE,2249229,Novak Djokovic,1.66,60230.88,1.67,26924.01,797195.1,1.66,
1315829436864,0,ACTIVE,2249229,Novak Djokovic,1.66,60235.78,1.67,26918.01,797207.1,1.67,
1315829436864,0,ACTIVE,2251410,Rafael Nadal,2.48,14462.48,2.5,1276.39,228129.9,2.5,
1315829445864,0,ACTIVE,2249229,Novak Djokovic,1.66,60235.78,1.67,26918.01,797207.1,1.67,
1315829458864,0,ACTIVE,2251410,Rafael Nadal,2.48,14459.18,2.5,1276.39,228136.5,2.48,
1315829468864,0,ACTIVE,2251410,Rafael Nadal,2.48,14457.46,2.5,1276.39,228139.94,2.48,
1315829473864,0,ACTIVE,2249229,Novak Djokovic,1.66,60235.78,1.67,26913.72,797215.7,1.67,
1315829478864,0,ACTIVE,2251410,Rafael Nadal,2.48,14457.46,2.5,1276.39,228139.94,2.48,
1315829480864,0,ACTIVE,2251410,Rafael Nadal,2.48,14444.45,2.5,1276.39,228165.95,2.48,
1315829492864,0,ACTIVE,2249229,Novak Djokovic,1.66,60230.78,1.67,26913.72,797225.7,1.66,
1315829494864,0,ACTIVE,2251410,Rafael Nadal,2.48,14873.3,2.5,1276.39,228165.95,2.48,
1315829500864,0,ACTIVE,2249229,Novak Djokovic,1.66,60230.78,1.67,26592.28,797868.56,1.67,
1315829505864,0,ACTIVE,2249229,Novak Djokovic,1.66,58702.65,1.67,26592.28,800924.9,1.66,
1315829508864,0,ACTIVE,2251410,Rafael Nadal,2.48,15302.16,2.5,1276.39,228165.95,2.48,
1315829533864,0,ACTIVE,2249229,Novak Djokovic,1.66,58700.93,1.67,26592.28,800928.3,1.66,
1315829541864,0,ACTIVE,2249229,Novak Djokovic,1.66,58700.93,1.67,26492.28,801128.3,1.67,
1315829543864,0,ACTIVE,2251410,Rafael Nadal,2.48,15289.15,2.5,1276.39,228191.98,2.48,
1315829550864,0,ACTIVE,2251410,Rafael Nadal,2.48,15282.64,2.5,1276.39,228205.0,2.48,
1315829554864,0,ACTIVE,2251410,Rafael Nadal,2.48,15277.64,2.5,1276.39,228215.0,2.48,
1315829557864,0,ACTIVE,2249229,Novak Djokovic,1.66,58700.93,1.67,26492.28,801128.3,1.67,
1315829561864,0,ACTIVE,2249229,Novak Djokovic,1.66,58700.93,1.67,26456.25,801200.3,1.67,
1315829562864,0,ACTIVE,2249229,Novak Djokovic,1.66,58684.15,1.67,26456.25,801233.9,1.66,
1315829589864,0,ACTIVE,2251410,Rafael Nadal,2.48,15265.03,2.5,1276.39,228240.22,2.48,
1315829601864,0,ACTIVE,2249229,Novak Djokovic,1.66,58684.15,1.67,26436.53,801273.4,1.67,
1315829613864,0,ACTIVE,2249229,Novak Djokovic,1.66,58684.15,1.67,26350.76,801444.9,1.67,
1315829614864,0,ACTIVE,2249229,Novak Djokovic,1.66,58682.15,1.67,26350.76,801448.9,1.66,
1315829628864,0,ACTIVE,2249229,Novak Djokovic,1.66,58689.01,1.67,26350.76,801448.9,1.66,
1315829630864,0,ACTIVE,2249229,Novak Djokovic,1.66,58689.01,1.67,25677.11,802796.2,1.67,
1315829636864,0,ACTIVE,2249229,Novak Djokovic,1.66,58689.01,1.67,25677.11,802796.2,1.67,
1315829640864,0,ACTIVE,2249229,Novak Djokovic,1.66,58687.29,1.67,25677.11,802799.6,1.66,
1315829680864,0,ACTIVE,2251410,Rafael Nadal,2.48,15207.56,2.5,1276.39,228355.16,2.48,
1315829683864,0,ACTIVE,2249229,Novak Djokovic,1.66,58685.29,1.67,25677.11,802803.6,1.66,
1315829685864,0,ACTIVE,2249229,Novak Djokovic,1.66,58685.29,1.67,25962.11,802803.6,1.66,
1315829688864,0,ACTIVE,2249229,Novak Djokovic,1.66,58665.38,1.67,25962.11,802843.44,1.66,
1315829692864,0,ACTIVE,2249229,Novak Djokovic,1.66,58665.38,1.67,25876.34,803015.0,1.67,
1315829695864,0,ACTIVE,2249229,Novak Djokovic,1.66,58686.9,1.67,25876.34,803015.0,1.67,
1315829695864,0,ACTIVE,2251410,Rafael Nadal,2.48,15181.83,2.5,1276.39,228406.62,2.48,
1315829698864,0,ACTIVE,2249229,Novak Djokovic,1.66,58691.75,1.67,25881.2,803015.0,1.67,
1315829710864,0,ACTIVE,2249229,Novak Djokovic,1.66,58659.21,1.67,25881.2,803080.06,1.66,
1315829716864,0,ACTIVE,2249229,Novak Djokovic,1.66,58659.21,1.67,25844.32,803153.8,1.67,
1315829736864,0,ACTIVE,2251410,Rafael Nadal,2.48,15161.83,2.5,1276.39,228446.62,2.48,
1315829744864,0,ACTIVE,2249229,Novak Djokovic,1.66,58659.21,1.67,25814.3,803213.9,1.67,
1315829774864,0,ACTIVE,2249229,Novak Djokovic,1.66,58659.21,1.67,25808.25,803213.9,1.67,
1315829791864,0,ACTIVE,2249229,Novak Djokovic,1.66,58630.4,1.67,25795.24,803297.5,1.67,
1315829799864,0,ACTIVE,2251410,Rafael Nadal,2.48,15159.83,2.5,1276.39,228450.62,2.48,
1315829815864,0,ACTIVE,2249229,Novak Djokovic,1.66,58463.98,1.67,25795.24,803630.3,1.66,
1315829821864,0,ACTIVE,2249229,Novak Djokovic,1.66,58463.98,1.67,25784.66,803651.5,1.67,
1315829822864,0,ACTIVE,2251410,Rafael Nadal,2.48,15159.83,2.5,1282.7,228450.62,2.48,
1315829842864,0,ACTIVE,2251410,Rafael Nadal,2.48,15147.82,2.5,1282.7,228474.64,2.48,
1315829849864,0,ACTIVE,2251410,Rafael Nadal,2.48,15576.68,2.5,1282.7,228474.64,2.48,
1315829855864,0,ACTIVE,2249229,Novak Djokovic,1.66,58463.98,1.67,25767.51,803685.75,1.67,
1315829876864,0,ACTIVE,2251410,Rafael Nadal,2.48,15544.94,2.5,1282.7,228538.12,2.48,
1315829893864,0,ACTIVE,2249229,Novak Djokovic,1.66,58378.21,1.67,25767.51,803857.3,1.66,
1315829900864,0,ACTIVE,2249229,Novak Djokovic,1.66,58378.21,1.67,25719.48,803953.4,1.67,
1315829913864,0,ACTIVE,2249229,Novak Djokovic,1.66,58378.21,1.67,27347.4,803956.8,1.67,
1315829928864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,27347.4,803956.8,1.67,
1315829935864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,26794.27,805063.06,1.67,
1315829935864,0,ACTIVE,2251410,Rafael Nadal,2.48,15973.79,2.5,1282.7,228538.12,2.48,
1315829943864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,26791.7,805068.2,1.67,
1315829946864,0,ACTIVE,2251410,Rafael Nadal,2.48,15940.42,2.5,1282.7,228604.86,2.48,
1315829953864,0,ACTIVE,2251410,Rafael Nadal,2.48,15907.88,2.5,1282.7,228669.94,2.48,
1315829957864,0,ACTIVE,2251410,Rafael Nadal,2.48,15955.05,2.5,1265.54,228704.23,2.5,
1315829959864,0,ACTIVE,2251410,Rafael Nadal,2.48,15935.05,2.5,1265.54,228744.23,2.48,
1315829963864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,26696.49,805258.6,1.67,
1315829973864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,27296.88,805258.6,1.67,
1315829973864,0,ACTIVE,2251410,Rafael Nadal,2.48,15735.05,2.5,1265.54,229144.23,2.48,
1315829974864,0,ACTIVE,2249229,Novak Djokovic,1.66,59378.21,1.67,27265.14,805322.1,1.67,
1315829982864,0,ACTIVE,2249229,Novak Djokovic,1.66,58995.21,1.67,27265.14,806088.1,1.66,
1315829989864,0,ACTIVE,2249229,Novak Djokovic,1.66,58995.21,1.67,26964.95,806688.5,1.67,
1315829991864,0,ACTIVE,2249229,Novak Djokovic,1.66,58995.21,1.67,26961.66,806695.06,1.67,
1315830009864,0,ACTIVE,2249229,Novak Djokovic,1.66,59995.21,1.67,26961.66,806695.06,1.67,
1315830016864,0,ACTIVE,2251410,Rafael Nadal,2.48,15692.17,2.5,1265.54,229230.02,2.48,
1315830023864,0,ACTIVE,2249229,Novak Djokovic,1.66,59995.21,1.67,26318.38,807981.6,1.67,
1315830030864,0,ACTIVE,2249229,Novak Djokovic,1.66,59992.64,1.67,26318.38,807986.8,1.66,
1315830032864,0,ACTIVE,2249229,Novak Djokovic,1.66,59992.64,1.67,26258.34,808106.9,1.67,
1315830039864,0,ACTIVE,2251410,Rafael Nadal,2.48,15583.24,2.5,1265.54,229447.88,2.48,
1315830042864,0,ACTIVE,2251410,Rafael Nadal,2.48,15581.52,2.5,1265.54,229451.31,2.48,
1315830046864,0,ACTIVE,2249229,Novak Djokovic,1.66,59992.64,1.67,26086.8,808449.94,1.67,
1315830069864,0,ACTIVE,2249229,Novak Djokovic,1.66,59871.68,1.67,26086.8,808691.9,1.66,
1315830075864,0,ACTIVE,2249229,Novak Djokovic,1.66,59871.68,1.67,26063.82,808737.8,1.67,
1315830127864,0,ACTIVE,2249229,Novak Djokovic,1.66,59871.68,1.67,26363.82,808737.8,1.67,
1315830141864,0,ACTIVE,2251410,Rafael Nadal,2.48,15581.52,2.5,1533.0,229451.31,2.48,
1315830148864,0,ACTIVE,2249229,Novak Djokovic,1.66,59871.68,1.67,26360.32,808744.8,1.67,
1315830151864,0,ACTIVE,2251410,Rafael Nadal,2.48,15567.8,2.5,1533.0,229478.77,2.48,
1315830164864,0,ACTIVE,2249229,Novak Djokovic,1.66,59871.68,1.67,26343.17,808779.1,1.67,
1315830190864,0,ACTIVE,2249229,Novak Djokovic,1.66,60371.68,1.67,26343.17,808779.1,1.67,
1315830190864,0,ACTIVE,2251410,Rafael Nadal,2.48,16067.8,2.5,1533.0,229478.77,2.48,
1315830246864,0,ACTIVE,2249229,Novak Djokovic,1.66,60306.61,1.67,26343.17,808909.25,1.66,
